id_partido,id_liga,id_local,id_visitante,id_tiempo,fecha_partido,gol_local,gol_visitante,remates_arco,remates_fuera,remates_total,remates_bloqueados,fouls,corners,offsides,posesion,amarillas,rojas,atajadas,total_pases,pases_precisos,porcentaje_pases
971188,1032,451,1064,1,2023-08-19,3,1,3,5,10,2.0,7,5,1.0,66,2,0.0,4,493,397,81
988672,1032,474,451,1,2023-08-27,1,0,3,4,8,1.0,16,7,0.0,75,1,1.0,1,677,572,84
971212,1032,451,452,1,2023-09-03,0,1,4,4,9,1.0,10,4,2.0,69,3,0.0,4,601,522,87
971229,1032,442,451,1,2023-09-15,1,0,4,4,11,3.0,8,6,1.0,71,3,0.0,3,648,588,91
971237,1032,1065,451,1,2023-09-19,0,3,6,12,23,5.0,13,3,2.0,62,1,0.0,2,613,516,84
971252,1032,451,446,1,2023-09-23,1,1,3,4,9,2.0,11,6,1.0,54,2,0.0,4,497,416,84
971259,1032,451,435,1,2023-10-01,0,2,3,5,13,5.0,13,6,3.0,46,5,0.0,6,331,233,70
971274,1032,440,451,1,2023-10-10,4,3,5,3,8,0.0,8,4,0.0,71,3,0.0,2,623,526,84
971287,1032,451,441,1,2023-10-21,2,1,7,8,17,2.0,16,6,2.0,72,4,0.0,4,636,558,88
971299,1032,436,451,1,2023-10-24,2,1,1,7,9,1.0,11,1,2.0,43,4,0.0,4,389,303,78
